"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","FISCAL_WEEK_NUMBER","WEEK_ENDING_DAY","WEEK_ENDING_DAY_ID","CALENDAR_MONTH_NUMBER","FISCAL_MONTH_NUMBER","CALENDAR_MONTH_DESC","CALENDAR_MONTH_ID","FISCAL_MONTH_DESC","FISCAL_MONTH_ID","DAYS_IN_CAL_MONTH","DAYS_IN_FIS_MONTH","END_OF_CAL_MONTH","END_OF_FIS_MONTH","CALENDAR_MONTH_NAME","FISCAL_MONTH_NAME","CALENDAR_QUARTER_DESC","CALENDAR_QUARTER_ID","FISCAL_QUARTER_DESC","FISCAL_QUARTER_ID","DAYS_IN_CAL_QUARTER","DAYS_IN_FIS_QUARTER","END_OF_CAL_QUARTER","END_OF_FIS_QUARTER","CALENDAR_QUARTER_NUMBER","FISCAL_QUARTER_NUMBER","CALENDAR_YEAR","CALENDAR_YEAR_ID","FISCAL_YEAR","FISCAL_YEAR_ID","DAYS_IN_CAL_YEAR","DAYS_IN_FIS_YEAR","END_OF_CAL_YEAR","END_OF_FIS_YEAR"
2019-06-16,"Sunday",7,16,24,24,2019-06-16,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-17,"Monday",1,17,24,24,2019-06-23,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-18,"Tuesday",2,18,25,25,2019-06-23,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-19,"Wednesday",3,19,25,25,2019-06-23,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-20,"Thursday",4,20,25,25,2019-06-23,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-21,"Friday",5,21,25,25,2019-06-23,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-22,"Saturday",6,22,25,25,2019-06-23,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-23,"Sunday",7,23,25,25,2019-06-23,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-24,"Monday",1,24,25,25,2019-06-30,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-25,"Tuesday",2,25,26,26,2019-06-30,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-26,"Wednesday",3,26,26,26,2019-06-30,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-27,"Thursday",4,27,26,26,2019-06-30,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-28,"Friday",5,28,26,26,2019-06-30,1650,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-29,"Saturday",6,29,26,26,2019-06-30,1493,6,7,"2019-06",1677,"2019-07",1726,30,28,2019-06-30,2019-07-26,"June","July","2019-02",1770,"2019-03",1787,91,91,2019-06-30,2019-09-27,2,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-30,"Sunday",7,30,26,26,2019-06-30,1493,6,7,"2019-06",1677,"2019-07",1726,30,28,2019-06-30,2019-07-26,"June","July","2019-02",1770,"2019-03",1787,91,91,2019-06-30,2019-09-27,2,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-01,"Monday",1,1,26,26,2019-07-07,1493,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-02,"Tuesday",2,2,27,27,2019-07-07,1493,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-03,"Wednesday",3,3,27,27,2019-07-07,1493,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-04,"Thursday",4,4,27,27,2019-07-07,1493,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-05,"Friday",5,5,27,27,2019-07-07,1493,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-06,"Saturday",6,6,27,27,2019-07-07,1542,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-07-07,"Sunday",7,7,27,27,2019-07-07,1542,7,7,"2019-07",1678,"2019-07",1726,31,28,2019-07-31,2019-07-26,"July","July","2019-03",1771,"2019-03",1787,92,91,2019-09-30,2019-09-27,3,3,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-01,"Tuesday",2,1,1,1,2019-01-06,1484,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-02,"Wednesday",3,2,1,1,2019-01-06,1484,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-03,"Thursday",4,3,1,1,2019-01-06,1484,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-04,"Friday",5,4,1,1,2019-01-06,1484,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-05,"Saturday",6,5,1,1,2019-01-06,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-06,"Sunday",7,6,1,1,2019-01-06,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-07,"Monday",1,7,1,1,2019-01-13,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-08,"Tuesday",2,8,2,2,2019-01-13,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-09,"Wednesday",3,9,2,2,2019-01-13,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-10,"Thursday",4,10,2,2,2019-01-13,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-11,"Friday",5,11,2,2,2019-01-13,1533,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-12,"Saturday",6,12,2,2,2019-01-13,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-13,"Sunday",7,13,2,2,2019-01-13,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-14,"Monday",1,14,2,2,2019-01-20,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-15,"Tuesday",2,15,3,3,2019-01-20,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-16,"Wednesday",3,16,3,3,2019-01-20,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-17,"Thursday",4,17,3,3,2019-01-20,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-18,"Friday",5,18,3,3,2019-01-20,1581,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-19,"Saturday",6,19,3,3,2019-01-20,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-20,"Sunday",7,20,3,3,2019-01-20,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-21,"Monday",1,21,3,3,2019-01-27,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-22,"Tuesday",2,22,4,4,2019-01-27,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-23,"Wednesday",3,23,4,4,2019-01-27,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-24,"Thursday",4,24,4,4,2019-01-27,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-25,"Friday",5,25,4,4,2019-01-27,1629,1,1,"2019-01",1672,"2019-01",1720,31,25,2019-01-31,2019-01-25,"January","January","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-26,"Saturday",6,26,4,4,2019-01-27,1464,1,2,"2019-01",1672,"2019-02",1721,31,28,2019-01-31,2019-02-22,"January","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-27,"Sunday",7,27,4,4,2019-01-27,1464,1,2,"2019-01",1672,"2019-02",1721,31,28,2019-01-31,2019-02-22,"January","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-28,"Monday",1,28,4,4,2019-02-03,1464,1,2,"2019-01",1672,"2019-02",1721,31,28,2019-01-31,2019-02-22,"January","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-29,"Tuesday",2,29,5,5,2019-02-03,1464,1,2,"2019-01",1672,"2019-02",1721,31,28,2019-01-31,2019-02-22,"January","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-30,"Wednesday",3,30,5,5,2019-02-03,1464,1,2,"2019-01",1672,"2019-02",1721,31,28,2019-01-31,2019-02-22,"January","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-01-31,"Thursday",4,31,5,5,2019-02-03,1464,1,2,"2019-01",1672,"2019-02",1721,31,28,2019-01-31,2019-02-22,"January","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-01,"Friday",5,1,5,5,2019-02-03,1464,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-02,"Saturday",6,2,5,5,2019-02-03,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-03,"Sunday",7,3,5,5,2019-02-03,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-04,"Monday",1,4,5,5,2019-02-10,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-05,"Tuesday",2,5,6,6,2019-02-10,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-06,"Wednesday",3,6,6,6,2019-02-10,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-07,"Thursday",4,7,6,6,2019-02-10,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-08,"Friday",5,8,6,6,2019-02-10,1513,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-09,"Saturday",6,9,6,6,2019-02-10,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-10,"Sunday",7,10,6,6,2019-02-10,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-11,"Monday",1,11,6,6,2019-02-17,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-12,"Tuesday",2,12,7,7,2019-02-17,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-13,"Wednesday",3,13,7,7,2019-02-17,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-14,"Thursday",4,14,7,7,2019-02-17,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-15,"Friday",5,15,7,7,2019-02-17,1561,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-16,"Saturday",6,16,7,7,2019-02-17,1609,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-17,"Sunday",7,17,7,7,2019-02-17,1609,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-18,"Monday",1,18,7,7,2019-02-24,1609,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-02-19,"Tuesday",2,19,8,8,2019-02-24,1609,2,2,"2019-02",1673,"2019-02",1721,28,28,2019-02-28,2019-02-22,"February","February","2019-01",1769,"2019-01",1785,90,88,2019-03-31,2019-03-29,1,1,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
