999|NO PROMOTION #|NO RPOMOTION|11|NO PROMOTION|2|0|9999-01-01-00-00-00|9999-01-01-00-00-00|Promotion total|1
426|TV promotion #13-426|TV program sponsorship|13|TV|3|7700|1998-06-02-00-00-00|1998-08-02-00-00-00|Promotion total|1
78|newspaper promotion #19-78|coupon news|19|newspaper|8|7800|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
118|TV promotion #13-118|TV program sponsorship|13|TV|3|7900|2000-05-12-00-00-00|2000-06-12-00-00-00|Promotion total|1
212|TV promotion #12-212|TV commercial|12|TV|3|8100|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
325|magazine promotion #18-325|coupon magazine|18|magazine|7|8200|2000-02-14-00-00-00|2000-03-14-00-00-00|Promotion total|1
297|post promotion #21-297|freeway billboard|21|post|9|8300|1999-01-15-00-00-00|1999-04-15-00-00-00|Promotion total|1
368|newspaper promotion #27-368|manufacture rebate news|27|newspaper|8|8700|1998-11-18-00-00-00|1999-01-18-00-00-00|Promotion total|1
59|post promotion #20-59|downtown billboard|20|post|9|8800|2000-02-02-00-00-00|2000-03-02-00-00-00|Promotion total|1
264|TV promotion #13-264|TV program sponsorship|13|TV|3|8900|1999-03-15-00-00-00|1999-06-15-00-00-00|Promotion total|1
532|TV promotion #30-532|promotion movie|30|TV|3|9400|1998-09-18-00-00-00|1998-11-18-00-00-00|Promotion total|1
322|internet promotion #14-322|ad|14|internet|6|9600|1998-07-01-00-00-00|1998-09-01-00-00-00|Promotion total|1
337|TV promotion #13-337|TV program sponsorship|13|TV|3|9700|1999-01-08-00-00-00|1999-04-08-00-00-00|Promotion total|1
64|internet promotion #29-64|online discount|29|internet|6|9800|1999-03-31-00-00-00|1999-06-30-00-00-00|Promotion total|1
65|newspaper promotion #19-65|coupon news|19|newspaper|8|9900|2000-05-13-00-00-00|2000-06-13-00-00-00|Promotion total|1
483|TV promotion #13-483|TV program sponsorship|13|TV|3|10000|1998-11-20-00-00-00|1999-01-20-00-00-00|Promotion total|1
393|post promotion #20-393|downtown billboard|20|post|9|10200|1998-09-02-00-00-00|1998-11-02-00-00-00|Promotion total|1
153|TV promotion #13-153|TV program sponsorship|13|TV|3|10300|1998-09-20-00-00-00|1998-11-20-00-00-00|Promotion total|1
196|newspaper promotion #19-196|coupon news|19|newspaper|8|10400|1998-11-04-00-00-00|1999-01-04-00-00-00|Promotion total|1
527|internet promotion #14-527|ad|14|internet|6|10500|1999-10-04-00-00-00|2000-01-04-00-00-00|Promotion total|1
94|TV promotion #13-94|TV program sponsorship|13|TV|3|10600|1999-10-09-00-00-00|2000-01-09-00-00-00|Promotion total|1
350|internet promotion #29-350|online discount|29|internet|6|10700|1999-01-27-00-00-00|1999-04-27-00-00-00|Promotion total|1
329|TV promotion #13-329|TV program sponsorship|13|TV|3|10800|1998-11-04-00-00-00|1999-01-04-00-00-00|Promotion total|1
155|internet promotion #29-155|online discount|29|internet|6|10900|2000-08-07-00-00-00|2000-09-07-00-00-00|Promotion total|1
172|TV promotion #12-172|TV commercial|12|TV|3|11400|2000-05-26-00-00-00|2000-06-26-00-00-00|Promotion total|1
98|magazine promotion #26-98|manufacture rebate magazine|26|magazine|7|11500|2000-02-13-00-00-00|2000-03-13-00-00-00|Promotion total|1
46|post promotion #17-46|billboard|17|post|9|11600|1998-09-05-00-00-00|1998-11-05-00-00-00|Promotion total|1
203|flyer promotion #22-203|general flyer|22|flyer|5|11700|1998-07-17-00-00-00|1998-09-17-00-00-00|Promotion total|1
238|newspaper promotion #16-238|ad news|16|newspaper|8|11800|2000-05-26-00-00-00|2000-06-26-00-00-00|Promotion total|1
447|TV promotion #13-447|TV program sponsorship|13|TV|3|12300|1999-04-05-00-00-00|1999-07-05-00-00-00|Promotion total|1
429|internet promotion #14-429|ad|14|internet|6|12500|1998-07-04-00-00-00|1998-09-04-00-00-00|Promotion total|1
237|newspaper promotion #19-237|coupon news|19|newspaper|8|12700|1999-03-30-00-00-00|1999-06-30-00-00-00|Promotion total|1
438|newspaper promotion #16-438|ad news|16|newspaper|8|12800|2000-05-26-00-00-00|2000-06-26-00-00-00|Promotion total|1
229|TV promotion #13-229|TV program sponsorship|13|TV|3|13100|1998-07-04-00-00-00|1998-09-04-00-00-00|Promotion total|1
183|internet promotion #29-183|online discount|29|internet|6|13200|1998-11-10-00-00-00|1999-01-10-00-00-00|Promotion total|1
320|magazine promotion #26-320|manufacture rebate magazine|26|magazine|7|13700|1999-10-24-00-00-00|2000-01-24-00-00-00|Promotion total|1
143|TV promotion #30-143|promotion movie|30|TV|3|14000|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
156|newspaper promotion #27-156|manufacture rebate news|27|newspaper|8|14100|1998-11-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
55|post promotion #21-55|freeway billboard|21|post|9|14300|2000-12-01-00-00-00|2001-01-01-00-00-00|Promotion total|1
444|internet promotion #29-444|online discount|29|internet|6|14400|2000-02-21-00-00-00|2000-03-21-00-00-00|Promotion total|1
188|internet promotion #29-188|online discount|29|internet|6|14700|2000-12-07-00-00-00|2001-01-07-00-00-00|Promotion total|1
50|internet promotion #25-50|loyal customer discount|25|internet|6|14900|1998-11-27-00-00-00|1999-01-27-00-00-00|Promotion total|1
106|TV promotion #13-106|TV program sponsorship|13|TV|3|15000|1998-06-11-00-00-00|1998-08-11-00-00-00|Promotion total|1
104|flyer promotion #22-104|general flyer|22|flyer|5|15100|1999-03-30-00-00-00|1999-06-30-00-00-00|Promotion total|1
288|TV promotion #13-288|TV program sponsorship|13|TV|3|15200|2000-08-07-00-00-00|2000-09-07-00-00-00|Promotion total|1
70|magazine promotion #26-70|manufacture rebate magazine|26|magazine|7|15500|1998-07-08-00-00-00|1998-09-08-00-00-00|Promotion total|1
319|flyer promotion #23-319|hospital flyer|23|flyer|5|15600|1998-06-20-00-00-00|1998-08-20-00-00-00|Promotion total|1
359|flyer promotion #23-359|hospital flyer|23|flyer|5|15800|1998-06-02-00-00-00|1998-08-02-00-00-00|Promotion total|1
218|TV promotion #13-218|TV program sponsorship|13|TV|3|15900|2000-02-12-00-00-00|2000-03-12-00-00-00|Promotion total|1
260|post promotion #20-260|downtown billboard|20|post|9|16100|1998-09-02-00-00-00|1998-11-02-00-00-00|Promotion total|1
451|TV promotion #13-451|TV program sponsorship|13|TV|3|16200|2000-05-12-00-00-00|2000-06-12-00-00-00|Promotion total|1
205|TV promotion #13-205|TV program sponsorship|13|TV|3|16300|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
193|TV promotion #13-193|TV program sponsorship|13|TV|3|16900|1998-09-02-00-00-00|1998-11-02-00-00-00|Promotion total|1
295|radio promotion #32-295|radio program sponsorship|32|radio|10|17100|2000-12-28-00-00-00|2001-01-28-00-00-00|Promotion total|1
73|radio promotion #32-73|radio program sponsorship|32|radio|10|17300|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
171|post promotion #20-171|downtown billboard|20|post|9|17400|1999-03-30-00-00-00|1999-06-30-00-00-00|Promotion total|1
299|internet promotion #29-299|online discount|29|internet|6|17600|1998-09-25-00-00-00|1998-11-25-00-00-00|Promotion total|1
361|internet promotion #29-361|online discount|29|internet|6|17700|2000-12-28-00-00-00|2001-01-28-00-00-00|Promotion total|1
318|internet promotion #14-318|ad|14|internet|6|18500|2000-05-12-00-00-00|2000-06-12-00-00-00|Promotion total|1
370|TV promotion #12-370|TV commercial|12|TV|3|18700|1998-11-08-00-00-00|1999-01-08-00-00-00|Promotion total|1
273|flyer promotion #23-273|hospital flyer|23|flyer|5|18800|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
305|newspaper promotion #19-305|coupon news|19|newspaper|8|19600|2000-05-26-00-00-00|2000-06-26-00-00-00|Promotion total|1
306|newspaper promotion #19-306|coupon news|19|newspaper|8|19800|1998-06-11-00-00-00|1998-08-11-00-00-00|Promotion total|1
223|radio promotion #31-223|radio commercial|31|radio|10|20000|1999-03-29-00-00-00|1999-06-29-00-00-00|Promotion total|1
435|internet promotion #14-435|ad|14|internet|6|20100|1998-07-03-00-00-00|1998-09-03-00-00-00|Promotion total|1
51|flyer promotion #23-51|hospital flyer|23|flyer|5|20200|1999-03-12-00-00-00|1999-06-12-00-00-00|Promotion total|1
394|TV promotion #12-394|TV commercial|12|TV|3|20600|1999-04-09-00-00-00|1999-07-09-00-00-00|Promotion total|1
434|TV promotion #12-434|TV commercial|12|TV|3|20800|2000-08-17-00-00-00|2000-09-17-00-00-00|Promotion total|1
149|post promotion #20-149|downtown billboard|20|post|9|20900|2000-12-06-00-00-00|2001-01-06-00-00-00|Promotion total|1
267|newspaper promotion #27-267|manufacture rebate news|27|newspaper|8|21000|1999-10-25-00-00-00|2000-01-25-00-00-00|Promotion total|1
334|radio promotion #31-334|radio commercial|31|radio|10|21200|2000-12-18-00-00-00|2001-01-18-00-00-00|Promotion total|1
125|magazine promotion #15-125|ad magazine|15|magazine|7|21500|2000-02-14-00-00-00|2000-03-14-00-00-00|Promotion total|1
231|magazine promotion #18-231|coupon magazine|18|magazine|7|21700|2000-02-13-00-00-00|2000-03-13-00-00-00|Promotion total|1
396|flyer promotion #23-396|hospital flyer|23|flyer|5|21800|1998-11-04-00-00-00|1999-01-04-00-00-00|Promotion total|1
494|newspaper promotion #16-494|ad news|16|newspaper|8|22200|1999-04-15-00-00-00|1999-07-15-00-00-00|Promotion total|1
277|post promotion #21-277|freeway billboard|21|post|9|22300|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
34|newspaper promotion #19-34|coupon news|19|newspaper|8|22400|1998-07-16-00-00-00|1998-09-16-00-00-00|Promotion total|1
230|newspaper promotion #19-230|coupon news|19|newspaper|8|22500|1999-01-15-00-00-00|1999-04-15-00-00-00|Promotion total|1
101|TV promotion #12-101|TV commercial|12|TV|3|22600|2000-08-17-00-00-00|2000-09-17-00-00-00|Promotion total|1
411|newspaper promotion #19-411|coupon news|19|newspaper|8|22800|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
339|magazine promotion #18-339|coupon magazine|18|magazine|7|23000|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
287|newspaper promotion #19-287|coupon news|19|newspaper|8|23200|1999-04-24-00-00-00|1999-07-24-00-00-00|Promotion total|1
441|newspaper promotion #16-441|ad news|16|newspaper|8|23400|2000-12-23-00-00-00|2001-01-23-00-00-00|Promotion total|1
476|TV promotion #30-476|promotion movie|30|TV|3|23600|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
506|magazine promotion #18-506|coupon magazine|18|magazine|7|23800|1998-09-23-00-00-00|1998-11-23-00-00-00|Promotion total|1
257|newspaper promotion #19-257|coupon news|19|newspaper|8|23900|2000-08-25-00-00-00|2000-09-25-00-00-00|Promotion total|1
160|TV promotion #12-160|TV commercial|12|TV|3|24200|1998-06-02-00-00-00|1998-08-02-00-00-00|Promotion total|1
285|flyer promotion #23-285|hospital flyer|23|flyer|5|24700|2000-02-12-00-00-00|2000-03-12-00-00-00|Promotion total|1
102|TV promotion #13-102|TV program sponsorship|13|TV|3|25200|1998-11-05-00-00-00|1999-01-05-00-00-00|Promotion total|1
475|newspaper promotion #27-475|manufacture rebate news|27|newspaper|8|25400|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
357|newspaper promotion #19-357|coupon news|19|newspaper|8|25500|2000-08-26-00-00-00|2000-09-26-00-00-00|Promotion total|1
198|internet promotion #14-198|ad|14|internet|6|25700|2000-05-31-00-00-00|2000-06-30-00-00-00|Promotion total|1
477|newspaper promotion #19-477|coupon news|19|newspaper|8|25900|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
294|internet promotion #29-294|online discount|29|internet|6|26100|1999-10-09-00-00-00|2000-01-09-00-00-00|Promotion total|1
467|magazine promotion #18-467|coupon magazine|18|magazine|7|26200|2000-12-18-00-00-00|2001-01-18-00-00-00|Promotion total|1
422|magazine promotion #18-422|coupon magazine|18|magazine|7|26400|1998-11-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
93|TV promotion #13-93|TV program sponsorship|13|TV|3|26800|1998-06-02-00-00-00|1998-08-02-00-00-00|Promotion total|1
242|magazine promotion #26-242|manufacture rebate magazine|26|magazine|7|26900|1998-07-22-00-00-00|1998-09-22-00-00-00|Promotion total|1
83|newspaper promotion #19-83|coupon news|19|newspaper|8|27500|1998-07-10-00-00-00|1998-09-10-00-00-00|Promotion total|1
515|newspaper promotion #19-515|coupon news|19|newspaper|8|27600|2000-12-27-00-00-00|2001-01-27-00-00-00|Promotion total|1
385|post promotion #20-385|downtown billboard|20|post|9|28000|2000-05-12-00-00-00|2000-06-12-00-00-00|Promotion total|1
397|internet promotion #29-397|online discount|29|internet|6|28200|1999-03-15-00-00-00|1999-06-15-00-00-00|Promotion total|1
346|newspaper promotion #19-346|coupon news|19|newspaper|8|28300|1999-04-30-00-00-00|1999-07-30-00-00-00|Promotion total|1
296|post promotion #20-296|downtown billboard|20|post|9|28600|1998-07-04-00-00-00|1998-09-04-00-00-00|Promotion total|1
62|newspaper promotion #19-62|coupon news|19|newspaper|8|28700|2000-08-04-00-00-00|2000-09-04-00-00-00|Promotion total|1
427|TV promotion #13-427|TV program sponsorship|13|TV|3|29400|1999-10-09-00-00-00|2000-01-09-00-00-00|Promotion total|1
110|TV promotion #30-110|promotion movie|30|TV|3|29600|1999-01-19-00-00-00|1999-04-19-00-00-00|Promotion total|1
428|magazine promotion #18-428|coupon magazine|18|magazine|7|29700|2000-12-28-00-00-00|2001-01-28-00-00-00|Promotion total|1
290|magazine promotion #26-290|manufacture rebate magazine|26|magazine|7|29800|1999-03-29-00-00-00|1999-06-29-00-00-00|Promotion total|1
347|magazine promotion #15-347|ad magazine|15|magazine|7|30000|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
286|internet promotion #29-286|online discount|29|internet|6|30100|1998-09-20-00-00-00|1998-11-20-00-00-00|Promotion total|1
344|radio promotion #32-344|radio program sponsorship|32|radio|10|30200|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
175|internet promotion #29-175|online discount|29|internet|6|30300|2000-12-23-00-00-00|2001-01-23-00-00-00|Promotion total|1
225|TV promotion #13-225|TV program sponsorship|13|TV|3|30500|2000-05-14-00-00-00|2000-06-14-00-00-00|Promotion total|1
250|internet promotion #29-250|online discount|29|internet|6|30700|1999-03-27-00-00-00|1999-06-27-00-00-00|Promotion total|1
310|post promotion #21-310|freeway billboard|21|post|9|31000|1999-01-19-00-00-00|1999-04-19-00-00-00|Promotion total|1
240|TV promotion #13-240|TV program sponsorship|13|TV|3|31100|1999-10-16-00-00-00|2000-01-16-00-00-00|Promotion total|1
95|magazine promotion #18-95|coupon magazine|18|magazine|7|31300|2000-12-28-00-00-00|2001-01-28-00-00-00|Promotion total|1
392|post promotion #20-392|downtown billboard|20|post|9|31500|2000-02-14-00-00-00|2000-03-14-00-00-00|Promotion total|1
498|post promotion #21-498|freeway billboard|21|post|9|31700|2000-05-18-00-00-00|2000-06-18-00-00-00|Promotion total|1
456|newspaper promotion #16-456|ad news|16|newspaper|8|31800|1999-01-29-00-00-00|1999-04-29-00-00-00|Promotion total|1
148|TV promotion #12-148|TV commercial|12|TV|3|31900|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
516|newspaper promotion #16-516|ad news|16|newspaper|8|32000|1998-07-12-00-00-00|1998-09-12-00-00-00|Promotion total|1
220|post promotion #21-220|freeway billboard|21|post|9|32500|1999-04-24-00-00-00|1999-07-24-00-00-00|Promotion total|1
443|TV promotion #30-443|promotion movie|30|TV|3|32600|1999-01-19-00-00-00|1999-04-19-00-00-00|Promotion total|1
117|magazine promotion #18-117|coupon magazine|18|magazine|7|33300|1999-03-27-00-00-00|1999-06-27-00-00-00|Promotion total|1
38|post promotion #20-38|downtown billboard|20|post|9|33400|1999-03-26-00-00-00|1999-06-26-00-00-00|Promotion total|1
60|post promotion #20-60|downtown billboard|20|post|9|33600|1998-09-09-00-00-00|1998-11-09-00-00-00|Promotion total|1
431|magazine promotion #26-431|manufacture rebate magazine|26|magazine|7|33800|2000-02-13-00-00-00|2000-03-13-00-00-00|Promotion total|1
226|TV promotion #13-226|TV program sponsorship|13|TV|3|33900|1998-06-02-00-00-00|1998-08-02-00-00-00|Promotion total|1
85|newspaper promotion #19-85|coupon news|19|newspaper|8|34000|2000-02-12-00-00-00|2000-03-12-00-00-00|Promotion total|1
461|internet promotion #29-461|online discount|29|internet|6|34500|2000-08-28-00-00-00|2000-09-28-00-00-00|Promotion total|1
314|flyer promotion #22-314|general flyer|22|flyer|5|34600|1999-04-05-00-00-00|1999-07-05-00-00-00|Promotion total|1
410|internet promotion #29-410|online discount|29|internet|6|34800|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
204|TV promotion #13-204|TV program sponsorship|13|TV|3|35500|1999-01-08-00-00-00|1999-04-08-00-00-00|Promotion total|1
129|TV promotion #13-129|TV program sponsorship|13|TV|3|35700|1998-11-04-00-00-00|1999-01-04-00-00-00|Promotion total|1
39|flyer promotion #23-39|hospital flyer|23|flyer|5|35800|2000-05-11-00-00-00|2000-06-11-00-00-00|Promotion total|1
522|magazine promotion #18-522|coupon magazine|18|magazine|7|36000|1998-11-14-00-00-00|1999-01-14-00-00-00|Promotion total|1
378|newspaper promotion #27-378|manufacture rebate news|27|newspaper|8|36100|2000-02-21-00-00-00|2000-03-21-00-00-00|Promotion total|1
63|flyer promotion #23-63|hospital flyer|23|flyer|5|36200|1998-11-15-00-00-00|1999-01-15-00-00-00|Promotion total|1
283|TV promotion #12-283|TV commercial|12|TV|3|36300|1998-07-10-00-00-00|1998-09-10-00-00-00|Promotion total|1
502|internet promotion #29-502|online discount|29|internet|6|36400|1998-06-30-00-00-00|1998-08-30-00-00-00|Promotion total|1
185|post promotion #20-185|downtown billboard|20|post|9|36500|2000-05-12-00-00-00|2000-06-12-00-00-00|Promotion total|1
399|TV promotion #13-399|TV program sponsorship|13|TV|3|36700|1998-06-13-00-00-00|1998-08-13-00-00-00|Promotion total|1
131|magazine promotion #26-131|manufacture rebate magazine|26|magazine|7|36800|2000-05-31-00-00-00|2000-06-30-00-00-00|Promotion total|1
486|flyer promotion #23-486|hospital flyer|23|flyer|5|37200|1998-06-01-00-00-00|1998-08-01-00-00-00|Promotion total|1
142|newspaper promotion #27-142|manufacture rebate news|27|newspaper|8|37300|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
284|newspaper promotion #19-284|coupon news|19|newspaper|8|37700|1999-01-27-00-00-00|1999-04-27-00-00-00|Promotion total|1
66|TV promotion #13-66|TV program sponsorship|13|TV|3|37800|1998-06-25-00-00-00|1998-08-25-00-00-00|Promotion total|1
75|post promotion #21-75|freeway billboard|21|post|9|37900|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
235|internet promotion #29-235|online discount|29|internet|6|38200|1998-11-09-00-00-00|1999-01-09-00-00-00|Promotion total|1
243|TV promotion #13-243|TV program sponsorship|13|TV|3|38500|1999-01-19-00-00-00|1999-04-19-00-00-00|Promotion total|1
495|TV promotion #13-495|TV program sponsorship|13|TV|3|38900|2000-08-31-00-00-00|2000-09-30-00-00-00|Promotion total|1
201|post promotion #20-201|downtown billboard|20|post|9|39100|2000-12-18-00-00-00|2001-01-18-00-00-00|Promotion total|1
524|post promotion #17-524|billboard|17|post|9|39500|2000-12-11-00-00-00|2001-01-11-00-00-00|Promotion total|1
439|TV promotion #13-439|TV program sponsorship|13|TV|3|39700|1998-06-11-00-00-00|1998-08-11-00-00-00|Promotion total|1
213|newspaper promotion #19-213|coupon news|19|newspaper|8|39800|1999-04-14-00-00-00|1999-07-14-00-00-00|Promotion total|1
462|TV promotion #13-462|TV program sponsorship|13|TV|3|40000|1998-11-04-00-00-00|1999-01-04-00-00-00|Promotion total|1
214|magazine promotion #18-214|coupon magazine|18|magazine|7|40100|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
217|TV promotion #13-217|TV program sponsorship|13|TV|3|40200|1999-01-27-00-00-00|1999-04-27-00-00-00|Promotion total|1
292|magazine promotion #26-292|manufacture rebate magazine|26|magazine|7|40400|2000-05-14-00-00-00|2000-06-14-00-00-00|Promotion total|1
529|magazine promotion #15-529|ad magazine|15|magazine|7|40500|1998-07-31-00-00-00|1998-09-30-00-00-00|Promotion total|1
380|TV promotion #13-380|TV program sponsorship|13|TV|3|40700|1999-03-16-00-00-00|1999-06-16-00-00-00|Promotion total|1
531|newspaper promotion #27-531|manufacture rebate news|27|newspaper|8|40900|2000-02-25-00-00-00|2000-03-25-00-00-00|Promotion total|1
141|TV promotion #12-141|TV commercial|12|TV|3|41000|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
424|internet promotion #25-424|loyal customer discount|25|internet|6|41300|2000-12-21-00-00-00|2001-01-21-00-00-00|Promotion total|1
138|internet promotion #14-138|ad|14|internet|6|41400|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
114|TV promotion #13-114|TV program sponsorship|13|TV|3|41500|1999-04-05-00-00-00|1999-07-05-00-00-00|Promotion total|1
291|radio promotion #32-291|radio program sponsorship|32|radio|10|56300|2000-12-13-00-00-00|2001-01-13-00-00-00|Promotion total|1
208|flyer promotion #23-208|hospital flyer|23|flyer|5|56600|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
190|newspaper promotion #19-190|coupon news|19|newspaper|8|56700|1999-01-29-00-00-00|1999-04-29-00-00-00|Promotion total|1
496|TV promotion #13-496|TV program sponsorship|13|TV|3|56800|1998-11-13-00-00-00|1999-01-13-00-00-00|Promotion total|1
430|flyer promotion #23-430|hospital flyer|23|flyer|5|56900|1999-01-15-00-00-00|1999-04-15-00-00-00|Promotion total|1
488|newspaper promotion #19-488|coupon news|19|newspaper|8|57000|2000-12-14-00-00-00|2001-01-14-00-00-00|Promotion total|1
416|newspaper promotion #19-416|coupon news|19|newspaper|8|57100|1998-07-10-00-00-00|1998-09-10-00-00-00|Promotion total|1
79|newspaper promotion #19-79|coupon news|19|newspaper|8|57300|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
303|TV promotion #13-303|TV program sponsorship|13|TV|3|57400|1998-11-08-00-00-00|1999-01-08-00-00-00|Promotion total|1
253|newspaper promotion #27-253|manufacture rebate news|27|newspaper|8|57700|1999-10-24-00-00-00|2000-01-24-00-00-00|Promotion total|1
147|post promotion #20-147|downtown billboard|20|post|9|57800|1999-10-12-00-00-00|2000-01-12-00-00-00|Promotion total|1
275|internet promotion #29-275|online discount|29|internet|6|58100|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
433|internet promotion #14-433|ad|14|internet|6|58300|1999-04-18-00-00-00|1999-07-18-00-00-00|Promotion total|1
